JobTitle,location,State,normalized_salary,work_type,pay_period,DevType
Technical Business Analyst,"Albany, NY",NY,70000.0,CONTRACT,YEARLY,Data or business analyst
Senior Data Engineer/Analyst - Full Time,"California, United States",CA,216320.0,FULL_TIME,HOURLY,Data engineer
Senior Machine Learning Research Engineer,San Francisco Bay Area,CA,250000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Azure Data Engineer (Full Time),"Arlington, VA",VA,120000.0,FULL_TIME,YEARLY,Data engineer
"Senior Data Analyst - Ai Training (Remote, Contract)",United States,Nationwide,114400.0,CONTRACT,HOURLY,Data scientist or machine learning specialist
Business Analyst,"Brooklyn, NY",NY,70833.0,OTHER,YEARLY,Data or business analyst
Data Engineer,United States,Nationwide,110000.0,FULL_TIME,YEARLY,Data engineer
Business Analyst Iii,"Los Angeles, CA",CA,115510.0,FULL_TIME,YEARLY,Data or business analyst
Business Analyst Ii,"Los Angeles, CA",CA,100445.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst - Expert With Excel,"Auburn Hills, MI",MI,80080.0,CONTRACT,HOURLY,Data or business analyst
Business Analyst,"Greenwood Village, CO",CO,135200.0,CONTRACT,HOURLY,Data or business analyst
Account Executive - Restaurant Tech Ai / Saas Start-Up,New York City Metropolitan Area,NY,82500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Oracle Business Analyst,"Seattle, WA",WA,155000.0,FULL_TIME,YEARLY,Data or business analyst
Data Analyst,"Orlando, FL",FL,83200.0,CONTRACT,HOURLY,Data or business analyst
Research Data Analyst 1 (75% Fte/Hybrid Opportunity),"Stanford, CA",CA,60555.0,PART_TIME,YEARLY,Data or business analyst
Chief Data Engineer,"Reston, VA",VA,199500.0,FULL_TIME,YEARLY,Data engineer
Data Engineer,"McLean, VA",VA,140000.0,FULL_TIME,YEARLY,Data engineer
Data Engineer,"Wayne, PA",PA,135000.0,FULL_TIME,YEARLY,Data engineer
Senior Data Scientist 3 - Nonproliferation,"Richland, WA",WA,177000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Principal Data Scientist,"New York, NY",NY,208000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Sr. Manager Solutions Architecture - Generative Ai, Aws Startups","Seattle, WA",WA,236800.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Data Scientist, Peopleinsight","Seattle, WA",WA,162200.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst,United States,Nationwide,90000.0,FULL_TIME,YEARLY,Data or business analyst
Junior Data Scientist/Software Programmer,"Denver, CO",CO,99500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Business Analyst Internship - Summer 2024,"Torrance, CA",CA,80000.0,INTERNSHIP,YEARLY,Data or business analyst
Junior Data Scientist/Java Programmer,"Kirkland, WA",WA,102500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
