ResponseId,MainBranch,Age,Employment_Status,CodingActivities,EdLevel,DevType,Country,"LearnCode_Other_online_resources_(e.g.,_videos,_blogs,_forum,_online_community)",LearnCode_On_the_job_training,LearnCode_Books___Physical_media,"LearnCode_School_(i.e.,_University,_College,_etc)",LearnCode_Online_Courses_or_Certification,LearnCode_Other,LanguageHaveWorkedWith_Python,LanguageHaveWorkedWith_SQL,LanguageHaveWorkedWith_Bash_Shell_(all_shells),LanguageHaveWorkedWith_JavaScript,LanguageHaveWorkedWith_HTML_CSS,LanguageHaveWorkedWith_Other,DatabaseHaveWorkedWith_PostgreSQL,DatabaseHaveWorkedWith_Microsoft_SQL_Server,DatabaseHaveWorkedWith_SQLite,DatabaseHaveWorkedWith_MySQL,DatabaseHaveWorkedWith_Snowflake,DatabaseHaveWorkedWith_Other,PlatformHaveWorkedWith_Amazon_Web_Services_(AWS),PlatformHaveWorkedWith_Microsoft_Azure,PlatformHaveWorkedWith_Google_Cloud,PlatformHaveWorkedWith_Databricks,PlatformHaveWorkedWith_Digital_Ocean,PlatformHaveWorkedWith_Other
210,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
344,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54,employed,Hobby,"Associate degree (A.A., A.S., etc.)",Data or business analyst,United States of America,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
345,I am a developer by profession,45-54,employed,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,Data scientist or machine learning specialist,United States of America,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0
381,"I used to be a developer by profession, but no longer am",35-44,employed,Hobby;Other (please specify):,"Associate degree (A.A., A.S., etc.)",Data or business analyst,United States of America,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1
586,I am a developer by profession,45-54,employed,Hobby;Contribute to open-source projects,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
638,I am a developer by profession,25-34,unemployed,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1
854,I am a developer by profession,35-44,unemployed,,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1086,I am a developer by profession,25-34,unemployed,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,I am a developer by profession,18-24,employed,Hobby;Freelance/contract work,Some college/university study without earning a degree,Data scientist or machine learning specialist,United States of America,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,I am a developer by profession,18-24,employed,School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
1461,I am a developer by profession,35-44,employed,I don’t code outside of work,Some college/university study without earning a degree,Data engineer,United States of America,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
1492,I am a developer by profession,45-54,employed,Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
1570,I am a developer by profession,25-34,employed,Hobby;Contribute to open-source projects;School or academic work;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
1577,I am a developer by profession,25-34,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
1583,I am a developer by profession,35-44,unemployed,,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0
1622,I am a developer by profession,35-44,employed,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1675,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54,employed,I don’t code outside of work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data engineer,United States of America,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
1795,I am a developer by profession,35-44,employed,Hobby;Professional development or self-paced learning from online courses,"Associate degree (A.A., A.S., etc.)",Data engineer,United States of America,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
1835,I am a developer by profession,25-34,employed,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1852,"I am not primarily a developer, but I write code sometimes as part of my work/studies",55-64,employed,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1893,I am a developer by profession,25-34,employed,Hobby;Other (please specify):;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0
1965,I am a developer by profession,35-44,employed,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2012,I am a developer by profession,35-44,employed,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
2057,I am a developer by profession,45-54,employed,Hobby;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
2072,I am a developer by profession,45-54,employed,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
2252,I am a developer by profession,45-54,employed,Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
2265,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24,employed,School or academic work;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2298,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34,employed,Hobby;Contribute to open-source projects;School or academic work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2357,I am a developer by profession,35-44,employed,Hobby;Contribute to open-source projects,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0
2565,I am a developer by profession,55-64,employed,Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1
2615,I am a developer by profession,35-44,employed,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
2878,I am a developer by profession,25-34,employed,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1
2992,I am a developer by profession,25-34,employed,School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4972,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34,employed,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
5020,I am learning to code,25-34,employed,Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data or business analyst,United States of America,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5045,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34,employed,School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,United States of America,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
5275,I am a developer by profession,18-24,employed,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,United States of America,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1
5280,I am a developer by profession,25-34,employed,Hobby;School or academic work;Professional development or self-paced learning from online courses;Freelance/contract work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
5347,"I used to be a developer by profession, but no longer am",35-44,employed,Hobby,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0
5447,I am a developer by profession,35-44,employed,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,United States of America,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5473,I am a developer by profession,25-34,employed,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
5546,I am a developer by profession,25-34,employed,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
5664,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44,employed,Hobby;Freelance/contract work,Some college/university study without earning a degree,Data or business analyst,United States of America,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1
6159,I am a developer by profession,25-34,employed,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0
6212,I am a developer by profession,25-34,employed,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,United States of America,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
6240,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34,employed,Hobby;School or academic work;Freelance/contract work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data or business analyst,United States of America,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6298,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44,employed,Hobby,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,United States of America,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
6361,I am a developer by profession,25-34,employed,Hobby;School or academic work;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,United States of America,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
